ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15B1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15B1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15B1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15B1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15B1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15B2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15B2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15B2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15B2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15B2,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15B3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15B3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
